Year,Month,Season,TYPE,SECTOR,SPECIES_GROUP_CODE,FMP_SUBAREA,Prod,PERMITS,t,CONFIDENTIAL_FLAG
2000,2,A,ATSEA,OTH,PLCK,BS,ROE,22,50.019,0
2000,2,A,ATSEA,OTH,PLCK,BS,WHOLE FISH,3,80.362,0
2000,2,A,INSHORE,AFA-IS,PLCK,BSAI,DEEP-SKIN FILLETS,3,2535.135,0
2000,2,A,INSHORE,AFA-IS,PLCK,BSAI,FISHMEAL,7,8260.965,0
2000,2,A,INSHORE,AFA-IS,PLCK,BSAI,MINCED FISH,4,1332.55,0
2000,2,A,INSHORE,AFA-IS,PLCK,BSAI,OTHER FILLETS,7,3339.145,0
2000,2,A,INSHORE,AFA-IS,PLCK,BSAI,OTHER PRODUCTS,5,2904.125,0
2000,2,A,INSHORE,AFA-IS,PLCK,BSAI,ROE,8,2482.433,0
2000,2,A,INSHORE,AFA-IS,PLCK,BSAI,SURIMI,5,20252.322,0
2000,2,A,INSHORE,OTH,PLCK,BSAI,MINCED FISH,1,17.77,1
2000,2,A,INSHORE,OTH,PLCK,BSAI,OTHER FILLETS,2,74.076,1
2000,2,A,INSHORE,OTH,PLCK,BSAI,OTHER PRODUCTS,1,8.82,1
2000,2,A,INSHORE,OTH,PLCK,BSAI,ROE,2,15.158,1
2000,2,A,INSHORE,OTH,PLCK,BSAI,WHOLE FISH,1,52.109,1
2000,3,A,ATSEA,AFA-CP,PLCK,BS,DEEP-SKIN FILLETS,9,2317.884,0
2000,3,A,ATSEA,AFA-CP,PLCK,BS,FISHMEAL,7,1716.718,0
2000,3,A,ATSEA,AFA-CP,PLCK,BS,MINCED FISH,4,899.796,0
2000,3,A,ATSEA,AFA-CP,PLCK,BS,OTHER FILLETS,8,1055.577,0
2000,3,A,ATSEA,AFA-CP,PLCK,BS,OTHER PRODUCTS,1,45.16,1
2000,3,A,ATSEA,AFA-CP,PLCK,BS,ROE,13,2395.395,0
2000,3,A,ATSEA,AFA-CP,PLCK,BS,SURIMI,11,8086.341,0
2000,3,A,ATSEA,AFA-MS,PLCK,BS,FISHMEAL,2,736.206,1
2000,3,A,ATSEA,AFA-MS,PLCK,BS,OTHER PRODUCTS,1,48.237,1
2000,3,A,ATSEA,AFA-MS,PLCK,BS,ROE,2,410.304,1
2000,3,A,ATSEA,AFA-MS,PLCK,BS,SURIMI,2,2709.818,1
2000,3,A,ATSEA,CDQ,PLCK,BS,DEEP-SKIN FILLETS,8,1462.82,0
2000,3,A,ATSEA,CDQ,PLCK,BS,FISHMEAL,5,287.242,0
2000,3,A,ATSEA,CDQ,PLCK,BS,HEAD AND GUT,6,11.842,0
2000,3,A,ATSEA,CDQ,PLCK,BS,MINCED FISH,4,551.786,0
2000,3,A,ATSEA,CDQ,PLCK,BS,OTHER FILLETS,5,258.914,0
2000,3,A,ATSEA,CDQ,PLCK,BS,ROE,10,796.972,0
2000,3,A,ATSEA,CDQ,PLCK,BS,SURIMI,8,1878.222,0
2000,3,A,ATSEA,OTH,PLCK,BS,HEAD AND GUT,38,696.254,0
2000,3,A,ATSEA,OTH,PLCK,BS,OTHER PRODUCTS,1,0.42,1
2000,3,A,ATSEA,OTH,PLCK,BS,ROE,17,46.376,0
2000,3,A,ATSEA,OTH,PLCK,BS,WHOLE FISH,2,16.661,1
2000,3,A,INSHORE,AFA-IS,PLCK,BSAI,DEEP-SKIN FILLETS,3,819.341,0
2000,3,A,INSHORE,AFA-IS,PLCK,BSAI,FISHMEAL,7,4728.746,0
2000,3,A,INSHORE,AFA-IS,PLCK,BSAI,MINCED FISH,3,629.309,0
2000,3,A,INSHORE,AFA-IS,PLCK,BSAI,OTHER FILLETS,7,1980.388,0
2000,3,A,INSHORE,AFA-IS,PLCK,BSAI,OTHER PRODUCTS,1,0.018,1
2000,3,A,INSHORE,AFA-IS,PLCK,BSAI,OTHER PRODUCTS,4,1530.794,0
2000,3,A,INSHORE,AFA-IS,PLCK,BSAI,ROE,8,1920.631,0
2000,3,A,INSHORE,AFA-IS,PLCK,BSAI,SURIMI,5,11381.71,0
2000,3,A,INSHORE,AFA-IS,PLCK,BSAI,WHOLE FISH,1,3.003,1
2000,3,A,INSHORE,OTH,PLCK,BSAI,HEAD AND GUT,1,1.086,1
2000,3,A,INSHORE,OTH,PLCK,BSAI,WHOLE FISH,1,34.55,1
2000,4,A,ATSEA,AFA-CP,PLCK,BS,DEEP-SKIN FILLETS,4,437.502,0
2000,4,A,ATSEA,AFA-CP,PLCK,BS,FISHMEAL,6,506.384,0
2000,4,A,ATSEA,AFA-CP,PLCK,BS,MINCED FISH,4,235.039,0
2000,4,A,ATSEA,AFA-CP,PLCK,BS,OTHER FILLETS,5,462.428,0
2000,4,A,ATSEA,AFA-CP,PLCK,BS,OTHER PRODUCTS,1,3.85,1
2000,4,A,ATSEA,AFA-CP,PLCK,BS,ROE,11,466.012,0
2000,4,A,ATSEA,AFA-CP,PLCK,BS,SURIMI,8,1491.743,0
2000,4,A,ATSEA,AFA-CP,PLCK,BS,WHOLE FISH,2,45.074,1
2000,4,A,ATSEA,CDQ,PLCK,BS,DEEP-SKIN FILLETS,2,65.469,1
2000,4,A,ATSEA,CDQ,PLCK,BS,FISHMEAL,3,34.536,0
2000,4,A,ATSEA,CDQ,PLCK,BS,HEAD AND GUT,7,11.81,0
2000,4,A,ATSEA,CDQ,PLCK,BS,MINCED FISH,2,59.744,1
2000,4,A,ATSEA,CDQ,PLCK,BS,OTHER FILLETS,4,127.019,0
2000,4,A,ATSEA,CDQ,PLCK,BS,ROE,6,77.357,0
2000,4,A,ATSEA,CDQ,PLCK,BS,SURIMI,5,222.022,0
2000,4,A,ATSEA,OTH,PLCK,BS,HEAD AND GUT,17,900.07,0
2000,4,A,ATSEA,OTH,PLCK,BS,ROE,14,53.091,0
2000,4,A,INSHORE,AFA-IS,PLCK,BSAI,FISHMEAL,5,74.758,0
2000,4,A,INSHORE,AFA-IS,PLCK,BSAI,MINCED FISH,1,14.685,1
2000,4,A,INSHORE,AFA-IS,PLCK,BSAI,OTHER FILLETS,2,85.526,1
2000,4,A,INSHORE,AFA-IS,PLCK,BSAI,OTHER PRODUCTS,2,41.034,1
2000,4,A,INSHORE,AFA-IS,PLCK,BSAI,ROE,5,31.662,0
2000,4,A,INSHORE,AFA-IS,PLCK,BSAI,SURIMI,1,13.806,1
2000,4,A,INSHORE,AFA-IS,PLCK,BSAI,WHOLE FISH,1,0.737,1
2000,4,A,INSHORE,OTH,PLCK,BSAI,WHOLE FISH,1,4.264,1
2000,5,A,ATSEA,AFA-CP,PLCK,BS,WHOLE FISH,1,12.151,1
2000,5,A,ATSEA,CDQ,PLCK,BS,HEAD AND GUT,6,10.059,0
2000,5,A,ATSEA,OTH,PLCK,BS,HEAD AND GUT,23,541.54,0
2000,5,A,ATSEA,OTH,PLCK,BS,ROE,7,22.565,0
2000,5,A,ATSEA,OTH,PLCK,BS,WHOLE FISH,1,8.784,1
2000,5,A,INSHORE,AFA-IS,PLCK,BSAI,ROE,1,2.309,1
2000,6,B,ATSEA,AFA-CP,PLCK,BS,DEEP-SKIN FILLETS,1,23.011,1
2000,6,B,ATSEA,AFA-CP,PLCK,BS,MINCED FISH,1,43.621,1
2000,6,B,ATSEA,AFA-CP,PLCK,BS,OTHER FILLETS,1,14.255,1
2000,6,B,ATSEA,AFA-CP,PLCK,BS,SURIMI,1,10.74,1
2000,6,B,ATSEA,CDQ,PLCK,BS,HEAD AND GUT,4,13.439,0
2000,6,B,ATSEA,OTH,PLCK,BS,HEAD AND GUT,9,179.688,0
2000,6,B,ATSEA,OTH,PLCK,BS,ROE,2,0.092,1
2000,6,B,ATSEA,OTH,PLCK,BS,WHOLE FISH,1,45.171,1
2000,6,B,INSHORE,AFA-IS,PLCK,BSAI,MINCED FISH,1,6.736,1
2000,6,B,INSHORE,AFA-IS,PLCK,BSAI,OTHER FILLETS,2,176.711,1
2000,6,B,INSHORE,AFA-IS,PLCK,BSAI,SURIMI,1,36.05,1
2000,7,B,ATSEA,AFA-CP,PLCK,BS,DEEP-SKIN FILLETS,7,1056.05,0
2000,7,B,ATSEA,AFA-CP,PLCK,BS,FISHMEAL,4,348.689,0
2000,7,B,ATSEA,AFA-CP,PLCK,BS,HEAD AND GUT,1,12.006,1
2000,7,B,ATSEA,AFA-CP,PLCK,BS,MINCED FISH,4,606.27,0
2000,7,B,ATSEA,AFA-CP,PLCK,BS,OTHER FILLETS,4,883.612,0
2000,7,B,ATSEA,AFA-CP,PLCK,BS,OTHER PRODUCTS,1,3.66,1
2000,7,B,ATSEA,AFA-CP,PLCK,BS,ROE,1,0.92,1
2000,7,B,ATSEA,AFA-CP,PLCK,BS,SURIMI,8,1987.036,0
2000,7,B,ATSEA,AFA-CP,PLCK,BS,WHOLE FISH,1,6.714,1
2000,7,B,ATSEA,AFA-MS,PLCK,BS,FISHMEAL,1,36.191,1
2000,7,B,ATSEA,AFA-MS,PLCK,BS,OTHER PRODUCTS,1,2.346,1
2000,7,B,ATSEA,AFA-MS,PLCK,BS,SURIMI,1,193.845,1
2000,7,B,ATSEA,CDQ,PLCK,BS,DEEP-SKIN FILLETS,1,736.519,1
2000,7,B,ATSEA,CDQ,PLCK,BS,FISHMEAL,1,27.766,1
2000,7,B,ATSEA,CDQ,PLCK,BS,HEAD AND GUT,2,12.107,1
2000,7,B,ATSEA,CDQ,PLCK,BS,MINCED FISH,3,1066.837,0
2000,7,B,ATSEA,CDQ,PLCK,BS,OTHER FILLETS,3,761.222,0
2000,7,B,ATSEA,CDQ,PLCK,BS,SURIMI,2,519.65,1
2000,7,B,ATSEA,OTH,PLCK,BS,HEAD AND GUT,14,236.701,0
2000,7,B,INSHORE,AFA-IS,PLCK,BSAI,DEEP-SKIN FILLETS,1,57.57,1
2000,7,B,INSHORE,AFA-IS,PLCK,BSAI,FISHMEAL,4,2350.973,0
2000,7,B,INSHORE,AFA-IS,PLCK,BSAI,MINCED FISH,3,111.231,0
2000,7,B,INSHORE,AFA-IS,PLCK,BSAI,OTHER FILLETS,6,1408.518,0
2000,7,B,INSHORE,AFA-IS,PLCK,BSAI,OTHER PRODUCTS,3,1479.018,0
2000,7,B,INSHORE,AFA-IS,PLCK,BSAI,ROE,5,41.976,0
2000,7,B,INSHORE,AFA-IS,PLCK,BSAI,SURIMI,4,7308.339,0
2000,7,B,INSHORE,AFA-IS,PLCK,BSAI,WHOLE FISH,1,14.244,1
2000,8,B,ATSEA,AFA-CP,PLCK,BS,DEEP-SKIN FILLETS,11,3650.973,0
2000,8,B,ATSEA,AFA-CP,PLCK,BS,FISHMEAL,8,2163.283,0
2000,8,B,ATSEA,AFA-CP,PLCK,BS,HEAD AND GUT,1,54.054,1
2000,8,B,ATSEA,AFA-CP,PLCK,BS,MINCED FISH,4,916.139,0
2000,8,B,ATSEA,AFA-CP,PLCK,BS,OTHER FILLETS,9,1458.451,0
2000,8,B,ATSEA,AFA-CP,PLCK,BS,OTHER PRODUCTS,2,107.101,1
2000,8,B,ATSEA,AFA-CP,PLCK,BS,ROE,5,52.012,0
2000,8,B,ATSEA,AFA-CP,PLCK,BS,SURIMI,12,12156.786,0
2000,8,B,ATSEA,AFA-CP,PLCK,BS,WHOLE FISH,1,14.904,1
2000,8,B,ATSEA,AFA-MS,PLCK,BS,FISHMEAL,3,1442.869,0
2000,8,B,ATSEA,AFA-MS,PLCK,BS,OTHER PRODUCTS,2,133.549,1
2000,8,B,ATSEA,AFA-MS,PLCK,BS,SURIMI,3,5946.652,0
2000,8,B,ATSEA,CDQ,PLCK,BS,DEEP-SKIN FILLETS,6,680.838,0
2000,8,B,ATSEA,CDQ,PLCK,BS,FISHMEAL,5,219.578,0
2000,8,B,ATSEA,CDQ,PLCK,BS,HEAD AND GUT,6,10.537,0
2000,8,B,ATSEA,CDQ,PLCK,BS,MINCED FISH,3,585.376,0
2000,8,B,ATSEA,CDQ,PLCK,BS,OTHER FILLETS,6,626.927,0
2000,8,B,ATSEA,CDQ,PLCK,BS,ROE,1,1.147,1
2000,8,B,ATSEA,CDQ,PLCK,BS,SURIMI,7,2411.389,0
2000,8,B,ATSEA,OTH,PLCK,BS,HEAD AND GUT,22,786.352,0
2000,8,B,ATSEA,OTH,PLCK,BS,WHOLE FISH,1,111.682,1
2000,8,B,INSHORE,AFA-IS,PLCK,BSAI,DEEP-SKIN FILLETS,2,1221.57,1
2000,8,B,INSHORE,AFA-IS,PLCK,BSAI,FISHMEAL,5,5761.613,0
2000,8,B,INSHORE,AFA-IS,PLCK,BSAI,HEAD AND GUT,1,1.51,1
2000,8,B,INSHORE,AFA-IS,PLCK,BSAI,MINCED FISH,2,653.963,1
2000,8,B,INSHORE,AFA-IS,PLCK,BSAI,OTHER FILLETS,6,3003.805,0
2000,8,B,INSHORE,AFA-IS,PLCK,BSAI,OTHER PRODUCTS,4,4182.413,0
2000,8,B,INSHORE,AFA-IS,PLCK,BSAI,ROE,6,161.663,0
2000,8,B,INSHORE,AFA-IS,PLCK,BSAI,SURIMI,6,18170.954,0
2000,8,B,INSHORE,AFA-IS,PLCK,BSAI,WHOLE FISH,1,88.194,1
2000,9,B,ATSEA,AFA-CP,PLCK,BS,DEEP-SKIN FILLETS,9,5377.786,0
2000,9,B,ATSEA,AFA-CP,PLCK,BS,FISHMEAL,8,2729.855,0
2000,9,B,ATSEA,AFA-CP,PLCK,BS,HEAD AND GUT,1,5.543,1
2000,9,B,ATSEA,AFA-CP,PLCK,BS,MINCED FISH,4,1344.254,0
2000,9,B,ATSEA,AFA-CP,PLCK,BS,OTHER FILLETS,7,1005.58,0
2000,9,B,ATSEA,AFA-CP,PLCK,BS,OTHER PRODUCTS,3,101.383,0
2000,9,B,ATSEA,AFA-CP,PLCK,BS,ROE,7,66.112,0
2000,9,B,ATSEA,AFA-CP,PLCK,BS,SURIMI,12,15705.098,0
2000,9,B,ATSEA,AFA-CP,PLCK,BS,WHOLE FISH,5,310.492,0
2000,9,B,ATSEA,AFA-MS,PLCK,BS,FISHMEAL,2,1434.644,1
2000,9,B,ATSEA,AFA-MS,PLCK,BS,HEAD AND GUT,1,37.339,1
2000,9,B,ATSEA,AFA-MS,PLCK,BS,OTHER PRODUCTS,1,295.416,1
2000,9,B,ATSEA,AFA-MS,PLCK,BS,SURIMI,2,5324.804,1
2000,9,B,ATSEA,CDQ,PLCK,BS,DEEP-SKIN FILLETS,6,1740.22,0
2000,9,B,ATSEA,CDQ,PLCK,BS,FISHMEAL,5,335.074,0
2000,9,B,ATSEA,CDQ,PLCK,BS,HEAD AND GUT,1,0.605,1
2000,9,B,ATSEA,CDQ,PLCK,BS,MINCED FISH,2,420.826,1
2000,9,B,ATSEA,CDQ,PLCK,BS,OTHER FILLETS,2,60.203,1
2000,9,B,ATSEA,CDQ,PLCK,BS,ROE,1,0.168,1
2000,9,B,ATSEA,CDQ,PLCK,BS,SURIMI,7,2054.865,0
2000,9,B,ATSEA,OTH,PLCK,BS,HEAD AND GUT,49,701.965,0
2000,9,B,ATSEA,OTH,PLCK,BS,OTHER PRODUCTS,1,0.561,1
2000,9,B,ATSEA,OTH,PLCK,BS,WHOLE FISH,4,39.252,0
2000,9,B,INSHORE,AFA-IS,PLCK,BSAI,DEEP-SKIN FILLETS,2,669.12,1
2000,9,B,INSHORE,AFA-IS,PLCK,BSAI,FISHMEAL,5,6298.703,0
2000,9,B,INSHORE,AFA-IS,PLCK,BSAI,HEAD AND GUT,1,3.175,1
2000,9,B,INSHORE,AFA-IS,PLCK,BSAI,MINCED FISH,3,729.745,0
2000,9,B,INSHORE,AFA-IS,PLCK,BSAI,OTHER FILLETS,7,4531.04,0
2000,9,B,INSHORE,AFA-IS,PLCK,BSAI,OTHER PRODUCTS,5,5315.835,0
2000,9,B,INSHORE,AFA-IS,PLCK,BSAI,ROE,6,301.304,0
2000,9,B,INSHORE,AFA-IS,PLCK,BSAI,SURIMI,6,20433.117,0
2000,9,B,INSHORE,AFA-IS,PLCK,BSAI,WHOLE FISH,2,4.557,1
2000,10,B,ATSEA,AFA-CP,PLCK,BS,DEEP-SKIN FILLETS,7,1435.944,0
2000,10,B,ATSEA,AFA-CP,PLCK,BS,FISHMEAL,8,1209.701,0
2000,10,B,ATSEA,AFA-CP,PLCK,BS,HEAD AND GUT,1,17.406,1
2000,10,B,ATSEA,AFA-CP,PLCK,BS,MINCED FISH,4,505.967,0
2000,10,B,ATSEA,AFA-CP,PLCK,BS,OTHER FILLETS,8,1555.949,0
2000,10,B,ATSEA,AFA-CP,PLCK,BS,OTHER PRODUCTS,2,9.4,1
2000,10,B,ATSEA,AFA-CP,PLCK,BS,ROE,5,39.572,0
2000,10,B,ATSEA,AFA-CP,PLCK,BS,SURIMI,11,6435.712,0
2000,10,B,ATSEA,AFA-CP,PLCK,BS,WHOLE FISH,3,705.653,0
2000,10,B,ATSEA,AFA-MS,PLCK,BS,FISHMEAL,2,182.497,1
2000,10,B,ATSEA,AFA-MS,PLCK,BS,SURIMI,2,896.184,1
2000,10,B,ATSEA,CDQ,PLCK,BS,DEEP-SKIN FILLETS,1,271.544,1
2000,10,B,ATSEA,CDQ,PLCK,BS,FISHMEAL,2,260.039,1
2000,10,B,ATSEA,CDQ,PLCK,BS,MINCED FISH,1,246.47,1
2000,10,B,ATSEA,CDQ,PLCK,BS,OTHER FILLETS,3,781.525,0
2000,10,B,ATSEA,CDQ,PLCK,BS,SURIMI,5,1646.415,0
2000,10,B,ATSEA,CDQ,PLCK,BS,WHOLE FISH,1,0.45,1
2000,10,B,ATSEA,OTH,PLCK,BS,HEAD AND GUT,43,812.064,0
2000,10,B,ATSEA,OTH,PLCK,BS,OTHER PRODUCTS,1,0.215,1
2000,10,B,ATSEA,OTH,PLCK,BS,ROE,1,2.304,1
2000,10,B,ATSEA,OTH,PLCK,BS,WHOLE FISH,3,121.724,0
2000,10,B,INSHORE,AFA-IS,PLCK,BSAI,DEEP-SKIN FILLETS,1,156.541,1
2000,10,B,INSHORE,AFA-IS,PLCK,BSAI,FISHMEAL,5,3935.351,0
2000,10,B,INSHORE,AFA-IS,PLCK,BSAI,HEAD AND GUT,1,3819.596,1
2000,10,B,INSHORE,AFA-IS,PLCK,BSAI,MINCED FISH,2,18.861,1
2000,10,B,INSHORE,AFA-IS,PLCK,BSAI,OTHER FILLETS,6,2025.063,0
2000,10,B,INSHORE,AFA-IS,PLCK,BSAI,OTHER PRODUCTS,4,3113.648,0
2000,10,B,INSHORE,AFA-IS,PLCK,BSAI,ROE,5,258.869,0
2000,10,B,INSHORE,AFA-IS,PLCK,BSAI,SURIMI,6,13007.319,0
2000,10,B,INSHORE,AFA-IS,PLCK,BSAI,WHOLE FISH,1,8.083,1
2000,11,B,ATSEA,AFA-CP,PLCK,BS,HEAD AND GUT,1,9.216,1
2000,11,B,ATSEA,AFA-CP,PLCK,BS,MINCED FISH,1,5.39,1
2000,11,B,ATSEA,AFA-CP,PLCK,BS,OTHER FILLETS,1,62.87,1
2000,11,B,ATSEA,AFA-CP,PLCK,BS,WHOLE FISH,1,83.057,1
2000,11,B,ATSEA,CDQ,PLCK,BS,HEAD AND GUT,1,2.655,1
2000,11,B,ATSEA,CDQ,PLCK,BS,MINCED FISH,1,3.14,1
2000,11,B,ATSEA,CDQ,PLCK,BS,OTHER FILLETS,1,36.94,1
2000,11,B,ATSEA,OTH,PLCK,BS,HEAD AND GUT,38,370.555,0
2000,11,B,ATSEA,OTH,PLCK,BS,OTHER PRODUCTS,1,0.224,1
2000,11,B,ATSEA,OTH,PLCK,BS,ROE,2,0.306,1
2000,11,B,ATSEA,OTH,PLCK,BS,WHOLE FISH,2,11.922,1
2000,11,B,INSHORE,AFA-IS,PLCK,BSAI,FISHMEAL,3,226.645,0
2000,11,B,INSHORE,AFA-IS,PLCK,BSAI,HEAD AND GUT,1,14.379,1
2000,11,B,INSHORE,AFA-IS,PLCK,BSAI,OTHER FILLETS,4,27.212,0
2000,11,B,INSHORE,AFA-IS,PLCK,BSAI,OTHER PRODUCTS,3,195.247,0
2000,11,B,INSHORE,AFA-IS,PLCK,BSAI,ROE,4,13.389,0
2000,11,B,INSHORE,AFA-IS,PLCK,BSAI,SURIMI,4,522.071,0
2000,11,B,INSHORE,AFA-IS,PLCK,BSAI,WHOLE FISH,1,54.68,1
2000,12,B,ATSEA,AFA-CP,PLCK,BS,HEAD AND GUT,1,1.764,1
2000,12,B,ATSEA,AFA-CP,PLCK,BS,WHOLE FISH,1,29.7,1
2000,12,B,ATSEA,CDQ,PLCK,BS,HEAD AND GUT,10,20.584,0
2000,12,B,ATSEA,OTH,PLCK,BS,HEAD AND GUT,29,130.262,0
2000,12,B,ATSEA,OTH,PLCK,BS,OTHER PRODUCTS,1,0.123,1
2000,12,B,ATSEA,OTH,PLCK,BS,ROE,3,0.691,0
2000,12,B,ATSEA,OTH,PLCK,BS,WHOLE FISH,2,34.093,1
2001,1,A,ATSEA,AFA-CP,PLCK,BS,DEEP-SKIN FILLETS,10,1182.371,0
2001,1,A,ATSEA,AFA-CP,PLCK,BS,FISHMEAL,8,268.791,0
2001,1,A,ATSEA,AFA-CP,PLCK,BS,MINCED FISH,6,299.364,0
2001,1,A,ATSEA,AFA-CP,PLCK,BS,OTHER FILLETS,3,215.421,0
2001,1,A,ATSEA,AFA-CP,PLCK,BS,OTHER PRODUCTS,1,10.96,1
2001,1,A,ATSEA,AFA-CP,PLCK,BS,ROE,15,393.162,0
2001,1,A,ATSEA,AFA-CP,PLCK,BS,SURIMI,13,1519.545,0
2001,1,A,ATSEA,AFA-MS,PLCK,BS,FISHMEAL,1,56.55,1
2001,1,A,ATSEA,AFA-MS,PLCK,BS,ROE,1,52.53,1
2001,1,A,ATSEA,AFA-MS,PLCK,BS,SURIMI,1,361,1
2001,1,A,ATSEA,CDQ,PLCK,BS,HEAD AND GUT,2,0.038,1
2001,1,A,ATSEA,OTH,PLCK,BS,HEAD AND GUT,39,234.333,0
2001,1,A,ATSEA,OTH,PLCK,BS,OTHER PRODUCTS,2,0.769,1
2001,1,A,ATSEA,OTH,PLCK,BS,ROE,20,14.675,0
2001,1,A,ATSEA,OTH,PLCK,BS,WHOLE FISH,4,3.766,0
2001,1,A,INSHORE,AFA-IS,PLCK,BSAI,DEEP-SKIN FILLETS,2,345.998,1
2001,1,A,INSHORE,AFA-IS,PLCK,BSAI,FISHMEAL,5,1887.894,0
2001,1,A,INSHORE,AFA-IS,PLCK,BSAI,HEAD AND GUT,1,168.605,1
2001,1,A,INSHORE,AFA-IS,PLCK,BSAI,MINCED FISH,3,278.123,0
2001,1,A,INSHORE,AFA-IS,PLCK,BSAI,OTHER FILLETS,6,1334.05,0
2001,1,A,INSHORE,AFA-IS,PLCK,BSAI,OTHER PRODUCTS,5,1180.613,0
2001,1,A,INSHORE,AFA-IS,PLCK,BSAI,ROE,7,694.308,0
2001,1,A,INSHORE,AFA-IS,PLCK,BSAI,SURIMI,4,4039.209,0
2001,2,A,ATSEA,AFA-CP,PLCK,BS,DEEP-SKIN FILLETS,12,5517.49,0
2001,2,A,ATSEA,AFA-CP,PLCK,BS,FISHMEAL,9,2159.183,0
2001,2,A,ATSEA,AFA-CP,PLCK,BS,MINCED FISH,7,1630.187,0
2001,2,A,ATSEA,AFA-CP,PLCK,BS,OTHER FILLETS,7,1283.495,0
2001,2,A,ATSEA,AFA-CP,PLCK,BS,OTHER PRODUCTS,2,161.689,1
2001,2,A,ATSEA,AFA-CP,PLCK,BS,ROE,15,2683.419,0
2001,2,A,ATSEA,AFA-CP,PLCK,BS,SURIMI,14,9878.917,0
2001,2,A,ATSEA,AFA-MS,PLCK,BS,FISHMEAL,3,1154.3,0
